"","公司代號","Profit_this_year_3","Profit_last_year_4","Profit_last_year_3","股東配發s盈餘分配之現金股利元股","Profit_this_year_4_P","DivideRatio","DividendPredict","收盤價","InterestRatePercent"
"111","1475",-1.13,-4.02,-3.12,0,-1.45596153846154,0,0,"3.92",0
"112","1476",11.53,15.96,11.43,11,16.0996325459318,0.68922305764411,11.0962379702537,"408.00",0.0271966616917983
"113","1477",6.77,7.2,5.34,7.1,9.12808988764045,0.986111111111111,9.00131086142322,"155.00",0.0580729732995047
"114","1503",2.51,2.72,2.23,1.5,3.06152466367713,0.551470588235294,1.68834080717489,"45.35",0.0372291247447605
"115","1504",1.33,1.59,1.24,0.9,1.70540322580645,0.566037735849057,0.965322580645161,"26.75",0.0360868254446789
"116","1506",-1.37,-0.95,0.01,0,130.15,0,0,"14.70",0
"117","1507",1.79,1.65,1.44,1.8,2.05104166666667,1.09090909090909,2.2375,"64.70",0.0345826893353941
"118","1512",-0.48,-0.94,-0.51,0,-0.884705882352941,0,0,"3.98",0
"119","1513",1.22,1.33,1.06,1,1.53075471698113,0.75187969924812,1.15094339622642,"25.60",0.0449587264150943
"120","1514",1.09,1.09,0.72,0.7,1.65013888888889,0.642201834862385,1.05972222222222,"18.00",0.0588734567901235
"121","1515",6,2.2,0.84,2,15.7142857142857,0.909090909090909,14.2857142857143,"71.70",0.199242877067145
"122","1516",0.25,0.51,0.56,0,0.227678571428571,0,0,"15.40",0
"123","1517",0.07,0.41,0.45,0.25,0.0637777777777778,0.609756097560976,0.0388888888888889,"9.14",0.00425480184779966
"124","1519",0.83,0.23,-0.39,0.3,-0.489487179487179,1.30434782608696,-0.638461538461538,"28.30",-0.0225604783908671
"125","1521",4.06,4.19,3.24,3.8,5.25043209876543,0.906921241050119,4.76172839506173,"64.80",0.073483462886755
"126","1522",1.88,2,1.62,1.3,2.32098765432099,0.65,1.50864197530864,"28.85",0.0522926161285491
"127","1524",0.64,1.09,0.79,0.5,0.883037974683544,0.458715596330275,0.40506329113924,"9.94",0.0407508341186359
"128","1525",2.7,6.17,4.05,1.8,4.11333333333333,0.291734197730956,1.2,"55.90",0.0214669051878354
"129","1526",0.98,2.69,2.01,1,1.31154228855721,0.371747211895911,0.487562189054726,"23.85",0.0204428590798627
"130","1527",4.72,7.48,5.48,4,6.44262773722628,0.53475935828877,3.44525547445255,"49.00",0.0703113362133174
"131","1528",-0.71,0.22,0.35,0.13,-0.446285714285714,0.590909090909091,-0.263714285714286,"9.20",-0.0286645962732919
"132","1529",0.07,0.71,0.41,0.2,0.121219512195122,0.28169014084507,0.0341463414634146,"17.30",0.00197377696320316
"133","1530",1.4,3.45,2.42,2,1.99586776859504,0.579710144927536,1.15702479338843,"30.50",0.0379352391274895
"134","1531",0.31,0.68,0.53,0.5,0.397735849056604,0.735294117647059,0.292452830188679,"15.20",0.019240317775571
"135","1532",1.07,4.76,3.52,2.7,1.44693181818182,0.567226890756303,0.820738636363637,"30.95",0.0265182111910706
"136","1533",1.71,2.71,1.9,0.8,2.439,0.29520295202952,0.72,"37.00",0.0194594594594595
"137","1535",0.7,0.79,0.47,1.1,1.17659574468085,1.39240506329114,1.63829787234043,"35.25",0.046476535385544
"138","1536",2.21,4.85,3.83,3.5,2.79856396866841,0.721649484536083,2.01958224543081,"121.00",0.0166907623589323
"139","1537",9.38,12.03,9.61,10,11.7420811654527,0.831255195344971,9.76066597294485,"148.50",0.065728390390201
"140","1538",-1.11,-1.77,-1.23,0,-1.59731707317073,0,0,"4.80",0
"141","1539",1.39,5.07,1.54,1.8,4.57616883116883,0.355029585798817,1.62467532467532,"20.25",0.0802308802308802
"142","1540",1.68,1.59,1.14,1.35,2.34315789473684,0.849056603773585,1.98947368421053,"19.35",0.10281517747858
"143","1541",2.53,1,1.36,1,1.86029411764706,1,1.86029411764706,"37.20",0.0500079063883618
"144","1558",9.25,15.26,12.73,11,11.0883739198743,0.72083879423329,7.99293008641006,"133.50",0.059872135478727
"145","1560",2.64,4.92,3.44,3.5,3.77581395348837,0.711382113821138,2.68604651162791,"67.40",0.0398523221309778
"146","1568",0.24,0.92,0.92,0.65,0.24,0.706521739130435,0.169565217391304,"19.45",0.00871800603554264
"147","1582",5.7,5.88,4.09,6.5,8.19462102689486,1.10544217687075,9.05867970660147,"91.00",0.0995459308417744
"148","1583",2.37,5.41,3.9,3,3.28761538461539,0.55452865064695,1.82307692307692,"60.00",0.0303846153846154
"149","1587",0.08,0.6,-0.02,0.1,-2.4,0.166666666666667,-0.4,"14.75",-0.0271186440677966
"150","1589",-0.08,-2.48,-1.92,0,-0.103333333333333,0,0,"61.40",0
"151","1590",10.04,15.02,11.42,5.27336,13.2049737302977,0.351089214380826,4.63612385288967,"450.00",0.0103024974508659
"152","1592",-2.29,-3.53,-2.11,0,-3.83113744075829,0,0,"16.80",0
"153","1598",1.23,1.2,0.08,0.35,18.45,0.291666666666667,5.38125,"40.35",0.133364312267658
"154","1603",0.93,0.82,0.71,0.5,1.07408450704225,0.609756097560976,0.654929577464789,"27.80",0.0235586178944169
"155","1604",1.96,1.52,1.41,1.4,2.11290780141844,0.921052631578947,1.94609929078014,"20.20",0.0963415490485219
"156","1605",0.66,3.53,3.16,1.2,0.737278481012658,0.339943342776204,0.250632911392405,"15.30",0.0163812360387193
"157","1608",0.62,-1.46,-1.07,0,0.845981308411215,0,0,"9.91",0
"158","1609",0.56,0.83,0.73,0.3,0.636712328767123,0.36144578313253,0.23013698630137,"11.50",0.020011911852293
"159","1611",0.06,0.17,-0.18,0.15,-0.0566666666666667,0.88235294117647,-0.05,"11.25",-0.00444444444444444
"160","1612",0.53,0.39,0.44,0.32,0.469772727272727,0.82051282051282,0.385454545454545,"11.05",0.034882764294529
"161","1614",0.66,0.78,0.66,0.90859895,0.78,1.16487044871795,0.90859895,"31.35",0.0289824226475279
"162","1615",1.33,1.76,1.38,1.35,1.69623188405797,0.767045454545455,1.30108695652174,"17.90",0.0726864221520525
"163","1616",-0.17,0.06,0.1,0,-0.102,0,0,"4.87",0
"164","1617",0.52,1.5,1.18,1,0.661016949152542,0.666666666666667,0.440677966101695,"12.10",0.0364196666199748
"165","1618",0.11,-0.04,0.25,0,-0.0176,0,0,"9.39",0
"166","1626",2.48,-0.12,-1,0,0.2976,0,0,"28.90",0
"167","1701",1.06,1.24,1.09,0.8,1.20587155963303,0.645161290322581,0.777981651376147,"19.40",0.0401021469781519
"168","1702",2.5,4.09,2.72,2.7,3.75919117647059,0.660146699266504,2.48161764705882,"51.10",0.0485639461263958
"169","1707",6.49,9.57,6.57,6.5,9.4534703196347,0.679205851619645,6.42085235920852,"195.50",0.0328432345739566
"170","1708",0.95,1.74,1.49,0.5,1.10939597315436,0.28735632183908,0.318791946308725,"25.65",0.0124285359184688
"171","1709",0.36,0.77,0.88,0.5,0.315,0.649350649350649,0.204545454545455,"12.90",0.0158562367864693
"172","1710",0.09,2.01,1.88,1.75,0.0962234042553191,0.870646766169154,0.0837765957446809,"21.05",0.00397988578359529
"173","1711",0.57,0.73,0.62,0.5,0.671129032258064,0.684931506849315,0.459677419354839,"15.70",0.0292788165194165
"174","1712",1.2,1.74,1.4,1.3,1.49142857142857,0.747126436781609,1.11428571428571,"19.05",0.0584926884139483
"175","1713",0.43,0.76,0.66,0.71,0.495151515151515,0.934210526315789,0.462575757575757,"18.20",0.0254162504162504
"176","1714",0.13,0.26,0.16,0.15,0.21125,0.576923076923077,0.121875,"7.09",0.0171897038081805
"177","1717",1.54,1.25,1.09,0.9,1.76605504587156,0.72,1.27155963302752,"26.75",0.0475349395524308
