公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1419 - 新紡,董事會通過,1,107/03/15,107/05/30,"513,117,705","1,242,208,161","1,633,672,616","515,685,272",3.72611177,0,"1,117,987,344",0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1423 - 利華羊毛,董事會通過,1,107/03/22,107/06/21,"-218,804,180","45,934,957","-172,453,491",0,0,0,0,0,0,0,新台幣                 10.0000元
1432 - 大魯閣實業,董事會通過,1,107/03/26,107/06/22,"-354,073,196","-141,976,388","-521,443,990","-521,443,990",0,0,0,0,0,0,新台幣                 10.0000元
1434 - 福懋興業,董事會通過,1,107/03/16,107/06/22,"1,448,938,202","4,279,871,245","4,970,238,311","1,769,375,501",1.9,0,"3,200,862,810",0,0,0,新台幣                 10.0000元
1435 - 中福國際,董事會通過,1,107/03/22,107/06/21,"-304,244,000","719,000","-303,525,000","-303,525,000",0,0,0,0,0,0,新台幣                 10.0000元
1436 - 華友聯,董事會通過,1,107/03/27,107/06/21,"673,116,227","238,881,547","888,109,619","660,409,619",2.5,0,"189,750,000",0.5,0,"3,795,000",新台幣                 10.0000元
1437 - 勤益投控,董事會通過,1,107/03/16,107/06/12,"56,964,141","310,653,713","301,171,507","107,484,568",0.5,0,"96,843,469",0.5,0,"9,684,347",新台幣                 10.0000元
1438 - 裕豐,董事會通過,1,107/03/22,107/06/27,"-563,160,434","-5,568,781","-568,729,215","-568,729,215",0,0,0,0,0,0,新台幣                 10.0000元
1440 - 南紡,董事會通過,1,107/03/15,107/06/22,"526,117,737","752,227,184","1,175,191,254","578,737,545",0.36,0,"596,453,709",0,0,0,新台幣                 10.0000元
1441 - 大東紡織,董事會通過,1,107/03/26,107/06/13,"-54,907,516","-273,859,244","-374,768,969","-374,768,969",0,0,0,0,0,0,新台幣                 10.0000元
1442 - 名軒,董事會通過,1,107/03/23,107/06/15,"629,666,107","561,222,641","1,134,766,484","594,065,884",1.8,0,"540,700,600",0,0,0,新台幣                 10.0000元
1443 - 立益紡織,董事會通過,1,107/03/16,107/06/14,"-819,644,051","-241,691,547","-479,963,563","-479,963,563",0,0,0,0,0,0,新台幣                 10.0000元
1444 - 力麗,董事會通過,1,107/04/26,107/04/26,"554,407,360","-12,935,508","530,707,226","52,055,755",0.5,0,"478,651,471",0,0,0,新台幣                 10.0000元
1445 - 大宇紡織,董事會通過,1,107/03/05,107/06/05,"16,857,973","12,441,265","14,013,655","146,952",0.1,0.1,"27,733,406",0,0,0,新台幣                 10.0000元
1446 - 宏和,董事會通過,1,107/03/29,107/06/05,"74,633,526","-40,499,464","4,720,925","4,720,925",0,0.3,"41,312,854",0,0,0,新台幣                 10.0000元
1447 - 力鵬,董事會通過,1,107/04/26,107/06/12,"271,431,760","-186,101,522","392,042,451","392,042,451",0,0,0,0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1449 - 佳和實業,董事會通過,1,107/03/27,107/06/26,0,0,0,0,0,0,0,0,0,0,新台幣                 10.0000元
1451 - 年興紡織,董事會通過,1,107/03/23,107/06/12,"2,563,251,089","281,478,169","2,570,977,238","2,273,977,238",1.5,0,"297,000,000",0,0,0,新台幣                 10.0000元
1452 - 宏益,董事會通過,1,107/02/26,107/06/11,"367,960,538","215,627,469","559,529,082","373,831,122",1.4,0,"185,697,960",0,0,0,新台幣                 10.0000元
1453 - 大將,董事會通過,1,107/03/20,107/06/11,"4,156,053","-27,171,569","-23,015,516","-23,015,516",0,0,0,0,0,0,新台幣                 10.0000元
1454 - 台富,董事會通過,1,107/03/05,107/06/06,"18,251,812","18,887,633","29,963,848","1,901,878",0.2,0,"28,061,970",0,0,0,新台幣                 10.0000元
1455 - 集盛,董事會通過,1,107/03/16,107/06/11,"392,775,807","361,314,697","722,744,046","478,038,694",0.4,0,"244,705,352",0,0,0,新台幣                 10.0000元
1456 - 怡華,董事會通過,1,107/03/23,107/06/22,"37,346,994","38,456,224","72,368,813","72,368,813",0,0,0,0,0,0,新台幣                 10.0000元
1457 - 宜進,董事會通過,1,107/03/26,107/06/01,"134,944,885","605,153,608","679,583,132","468,429,784",0.7,0,"211,153,348",0,0,0,新台幣                 10.0000元
1459 - 聯發紡織,董事會通過,1,107/03/26,107/06/27,"-228,238,645","95,327,296","29,035,774","29,035,774",0,0.1,"35,862,891",0,0,0,新台幣                 10.0000元
1460 - 宏遠,董事會通過,1,107/03/16,107/06/12,"11,127,761","215,143,509","159,143,130","61,135,790",0,0,0,0.2,0,"9,800,734",新台幣                 10.0000元
